iter	RMSE
0	1257.390664
1	1144.936019
2	1044.011749
3	954.3042957
4	872.1601595
5	796.1219186
6	728.2985671
7	667.0521774
8	612.9246667
9	564.0763617
10	520.2577846
11	481.3105578
12	446.567433
13	414.8211246
14	386.6003192
15	361.677104
16	339.3727627
17	319.2338766
18	301.8828143
19	286.6370247
20	273.5478204
21	261.2459713
22	250.7771184
23	241.7455118
24	233.2719354
25	226.1524835
26	219.5865194
27	213.7275511
28	209.0879098
29	204.3090354
30	199.9404235
31	195.994669
32	192.301553
33	189.1101629
34	186.5144027
35	183.8693975
36	181.5445819
37	179.6809547
38	177.7718526
39	175.8617961
40	174.0701671
41	172.2887044
42	170.8869808
43	169.2437567
44	167.747555
45	166.2037915
46	164.7180805
47	163.636599
48	162.5694965
49	161.4883051
50	160.6437513
51	159.6829562
52	158.5810909
53	157.5116711
54	156.9037195
55	156.074564
56	155.114803
57	154.4284973
58	153.6300316
59	152.8838406
60	152.1052296
61	151.4139835
62	150.4789498
63	149.6189619
64	148.9021521
65	148.2364159
66	147.5464788
67	147.0058806
68	146.5237227
69	145.9611656
70	145.3959436
71	144.7536843
72	143.9748676
73	143.2451057
74	142.759729
75	142.1183928
76	141.4819873
77	140.8478333
78	140.2106451
79	139.7699095
80	139.1768118
81	138.7378369
82	137.9975207
83	137.4529254
84	136.6358504
85	136.1736879
86	135.7286044
87	135.312949
88	134.96115
89	134.2463963
90	133.906231
91	133.5239017
92	132.912987
93	132.1996418
94	131.638426
95	131.0010539
96	130.5673235
97	130.2372521
98	129.8138715
99	129.3796377
100	128.9502784
101	128.4058189
102	127.9196345
103	127.4797189
104	127.1095084
105	126.7550317
106	126.3066255
107	125.8619159
108	125.4167225
109	124.9318882
110	124.6251985
111	124.2405568
112	123.9283783
113	123.5426415
114	123.080936
115	122.7330049
116	122.393819
117	121.9935612
118	121.5624308
119	121.1589444
120	120.766861
121	120.5129749
122	120.206429
123	119.7004205
124	119.3537476
125	119.0839924
126	118.8111304
127	118.3841227
128	118.0766699
129	117.6700797
130	117.4327422
131	117.1192069
132	116.8542732
133	116.5989549
134	116.1911704
135	115.9035163
136	115.6580787
137	115.3600976
138	115.0522463
139	114.6498245
140	114.4333807
141	114.0588384
142	113.7145532
143	113.5044302
144	113.2251688
145	113.0294676
146	112.6360873
147	112.3996734
148	112.0926422
149	111.8567188
150	111.612637
151	111.4119561
152	111.2097973
153	110.9355731
154	110.5824181
155	110.4278481
156	110.2122662
157	109.8847343
158	109.5796208
159	109.3173572
160	109.0355523
161	108.723435
162	108.5036506
163	108.2712833
164	108.066948
165	107.8523385
166	107.6662938
167	107.4558052
168	107.2155068
169	106.9083421
170	106.5154506
171	106.1957747
172	105.9262576
173	105.6644713
174	105.4702238
175	105.2391322
176	104.9358681
177	104.7704722
178	104.5964953
179	104.3390259
180	104.1250729
181	103.901634
182	103.6693857
183	103.4800464
184	103.2053041
185	103.0227931
186	102.8362693
187	102.6100783
188	102.4414104
189	102.2790766
190	102.1225177
191	101.8982239
192	101.7134767
193	101.5337455
194	101.3477644
195	101.1423639
196	100.8557179
197	100.72787
198	100.5146125
199	100.3250342
200	100.1374151
201	99.93609701
202	99.71544434
203	99.42384878
204	99.22960858
205	99.04090245
206	98.83875687
207	98.65644792
208	98.46051115
209	98.26992679
210	98.04880228
211	97.89831683
212	97.68795142
213	97.43560148
214	97.27319241
215	97.0572459
216	96.83226173
217	96.69924612
218	96.50159612
219	96.29661601
220	96.16627109
221	95.98235844
222	95.80524965
223	95.61744227
224	95.4351005
225	95.24261432
226	95.0189944
227	94.77703186
228	94.51990322
229	94.34702586
230	94.18621458
231	93.92415858
232	93.67571949
233	93.55276367
234	93.4012708
235	93.29005813
236	93.12250698
237	93.00562267
238	92.79550119
239	92.61946224
240	92.51504308
241	92.37175518
242	92.22479232
243	92.10194722
244	91.97924787
245	91.87150654
246	91.7145688
247	91.5447312
248	91.30612649
249	91.04463831
250	90.88651093
251	90.74435794
252	90.58055016
253	90.40616955
254	90.23801444
255	90.12793955
256	90.00780341
257	89.86348312
258	89.74338467
259	89.5626291
260	89.44279163
261	89.32473694
262	89.21889341
263	89.07853137
264	88.96388183
265	88.81543098
266	88.66010838
267	88.53647601
268	88.41701691
269	88.26841848
270	88.10246599
271	87.91203807
272	87.75040268
273	87.62501975
274	87.50796191
275	87.27366528
276	87.17444432
277	87.04534778
278	86.92558648
279	86.78585497
280	86.6522222
281	86.5260828
282	86.40602494
283	86.24404909
284	86.16980089
285	86.03831869
286	85.87483275
287	85.69465504
288	85.5649508
289	85.40186019
290	85.21787514
291	85.09839957
292	84.94793189
293	84.82311374
294	84.71884175
295	84.57570789
296	84.41656595
297	84.25896861
298	84.15362708
299	83.99660062
300	83.87626793
301	83.7306191
302	83.56778372
303	83.37365846
304	83.28511771
305	83.16458453
306	83.0310144
307	82.89355518
308	82.78244403
309	82.64553301
310	82.54766086
311	82.39534263
312	82.25126357
313	82.14871653
314	82.05427242
315	81.90756563
316	81.79123669
317	81.73371728
318	81.56947439
319	81.4674329
320	81.37638989
321	81.25653247
322	81.14927679
323	81.06450805
324	80.88671482
325	80.81844577
326	80.71606452
327	80.5961474
328	80.50538603
329	80.4217518
330	80.30234326
331	80.17303869
332	80.05775781
333	79.95543258
334	79.85116604
335	79.72486737
336	79.56581351
337	79.45701438
338	79.38109584
339	79.27456515
340	79.15664956
341	79.03217353
342	78.91792895
343	78.79003332
344	78.68827685
345	78.62088601
346	78.51525554
347	78.41936517
348	78.31559345
349	78.23098496
350	78.13238583
351	78.06112304
352	77.94153129
353	77.80599869
354	77.65945628
355	77.58144378
356	77.44402239
357	77.30260444
358	77.19388543
359	77.07264194
360	76.96690607
361	76.85110294
362	76.7648189
363	76.7005527
364	76.54370218
365	76.413631
366	76.31199099
367	76.2045954
368	76.09753497
369	75.97372599
370	75.9019337
371	75.82752505
372	75.74025543
373	75.61168036
374	75.54399247
375	75.44393461
376	75.34357985
377	75.23555386
378	75.0878257
379	75.00087438
380	74.92436443
381	74.87761731
382	74.79927702
383	74.71560442
384	74.57976501
385	74.53304781
386	74.41354427
387	74.33514011
388	74.26218924
389	74.16973757
390	74.09225147
391	73.99966312
392	73.93846367
393	73.86905227
394	73.8037092
395	73.67698351
396	73.59347676
397	73.50762045
398	73.40161508
399	73.32712218
400	73.27100615
401	73.1742237
402	73.07335231
403	72.99905328
404	72.86675681
405	72.81605526
406	72.71597724
407	72.62474116
408	72.57142814
409	72.51699389
410	72.39461916
411	72.31810108
412	72.20443027
413	72.10618968
414	72.00266871
415	71.88541349
416	71.80821527
417	71.6694539
418	71.56534507
419	71.49153291
420	71.40344655
421	71.34756313
422	71.24249903
423	71.18878171
424	71.11883319
425	71.06647621
426	70.99225788
427	70.92318523
428	70.85880047
429	70.78468886
430	70.72298522
431	70.66292076
432	70.59304579
433	70.49802021
434	70.42035488
435	70.32727152
436	70.27657214
437	70.20003204
438	70.09968052
439	69.99998114
440	69.91700103
441	69.80592832
442	69.71481398
443	69.61373933
444	69.52831281
445	69.49060467
446	69.39701754
447	69.29830907
448	69.19968526
449	69.11898632
450	69.00850197
451	68.91542831
452	68.84776154
453	68.76945706
454	68.72445132
455	68.62910981
456	68.52075076
457	68.44546657
458	68.31415024
459	68.2371704
460	68.16425998
461	68.09551276
462	67.98326772
463	67.88306206
464	67.82135493
465	67.7630504
466	67.67914133
467	67.64058273
468	67.56877081
469	67.50203
470	67.42754925
471	67.375724
472	67.2866005
473	67.22371643
474	67.15830715
475	67.10757194
476	67.06724033
477	66.94491437
478	66.8653705
479	66.75590302
480	66.69411336
481	66.62793706
482	66.54620888
483	66.47323549
484	66.42978291
485	66.29362363
486	66.20829815
487	66.11670578
488	66.00876178
489	65.9831214
490	65.91839445
491	65.84370424
492	65.7775271
493	65.72525968
494	65.65926702
495	65.591079
496	65.49978513
497	65.43997243
498	65.3631594
499	65.26567381
500	65.19049339
501	65.1079183
502	65.04505876
503	64.96883921
504	64.92756924
505	64.87378767
506	64.83235572
507	64.75371422
508	64.65478045
509	64.59481491
510	64.52686546
511	64.41580521
512	64.37911792
513	64.32530773
514	64.2613681
515	64.18265122
516	64.1462417
517	64.08613926
518	64.03165796
519	63.96550855
520	63.89931973
521	63.80462771
522	63.72209335
523	63.67770796
524	63.61366848
525	63.54238737
526	63.47958382
527	63.43968332
528	63.3780617
529	63.29989101
530	63.22553085
531	63.18884435
532	63.12480754
533	63.0297123
534	62.95036815
535	62.87905694
536	62.78081782
537	62.71186276
538	62.64785496
539	62.54617074
540	62.483241
541	62.42553965
542	62.36340051
543	62.28072782
544	62.21691893
545	62.13156437
546	62.0604535
547	61.94293529
548	61.87960345
549	61.83428405
550	61.76615365
551	61.70328256
552	61.65978607
553	61.59226628
554	61.5297424
555	61.43978794
556	61.39577004
557	61.37169117
558	61.32335086
559	61.27422408
560	61.20812746
561	61.12427633
562	61.05991062
563	61.01652209
564	60.92768148
565	60.89239502
566	60.82259625
567	60.75352795
568	60.68522029
569	60.63879503
570	60.56026946
571	60.50945041
572	60.46941198
573	60.36651956
574	60.30989924
575	60.25141052
576	60.20233822
577	60.16762844
578	60.12106822
579	60.06337731
580	60.00205476
581	59.95520711
582	59.90282017
583	59.83470121
584	59.77060407
585	59.67209151
586	59.61503945
587	59.5681259
588	59.49810093
589	59.44456961
590	59.37015175
591	59.30616158
592	59.24161042
593	59.17688195
594	59.09983111
595	59.03541743
596	58.97217987
597	58.91594956
598	58.87979331
599	58.82585779
600	58.76939014
601	58.74569403
602	58.67906134
603	58.60980605
604	58.56660621
605	58.49206575
606	58.44301966
607	58.40573608
608	58.35727526
609	58.30238081
610	58.21122847
611	58.15657323
612	58.09984531
613	58.05308427
614	57.99780607
615	57.93112114
616	57.86673991
617	57.82565807
618	57.74971271
619	57.70063906
620	57.63824935
621	57.6083199
622	57.5387149
623	57.46999172
624	57.40223367
625	57.35436205
626	57.30748812
627	57.27009928
628	57.18917848
629	57.1369139
630	57.09230189
631	56.99850386
632	56.93139367
633	56.89124223
634	56.82170393
635	56.76968496
636	56.71933706
637	56.65136527
638	56.58644989
639	56.54021472
640	56.5015029
641	56.454149
642	56.38640341
643	56.33298005
644	56.2566436
645	56.20845392
646	56.13959694
647	56.09520661
648	56.03471154
649	55.97918793
650	55.93058567
651	55.88925071
652	55.85213869
653	55.80698219
654	55.76602808
655	55.71287457
656	55.64215649
657	55.56943437
658	55.52863244
659	55.46324511
660	55.43417272
661	55.35487086
662	55.28508125
663	55.26222878
664	55.20262685
665	55.1594126
666	55.12355696
667	55.0692193
668	55.03593752
669	54.99049443
670	54.94629312
671	54.90006493
672	54.86068663
673	54.81550775
674	54.73482154
675	54.68631187
676	54.61950452
677	54.57401952
678	54.53169977
679	54.48019506
680	54.41918524
681	54.35496773
682	54.31936875
683	54.28477386
684	54.22137174
685	54.18680615
686	54.14418064
687	54.10327324
688	54.07341742
689	54.02035757
690	53.9758217
691	53.9327602
692	53.89418249
693	53.85694618
694	53.82146772
695	53.76088323
696	53.70893383
697	53.66412595
698	53.60410128
699	53.54986324
700	53.50223006
701	53.46764707
702	53.4075417
703	53.37029657
704	53.3144753
705	53.26414767
706	53.21109016
707	53.17859521
708	53.14510498
709	53.10505309
710	53.0282548
711	52.98135116
712	52.94469586
713	52.90854014
714	52.85717216
715	52.80656831
716	52.75865243
717	52.70158662
718	52.65188474
719	52.59534821
720	52.55366317
721	52.48905576
722	52.42984424
723	52.39942526
724	52.34613638
725	52.28965556
726	52.2437931
727	52.21526346
728	52.18510509
729	52.14572146
730	52.11160163
731	52.07184657
732	52.02679693
733	51.97301779
734	51.93160535
735	51.89377134
736	51.87193816
737	51.84302641
738	51.78660304
739	51.75306302
740	51.72298709
741	51.67265769
742	51.62848086
743	51.5873104
744	51.55101824
745	51.50329428
746	51.47098548
747	51.43975082
748	51.3931043
749	51.34105946
750	51.28255734
751	51.24735956
752	51.19613419
753	51.16601586
754	51.12267189
755	51.08223031
756	51.03446138
757	51.0165298
758	50.96021489
759	50.92927787
760	50.90107176
761	50.8681694
762	50.81600787
763	50.75735931
764	50.72505888
765	50.69583113
766	50.66367505
767	50.6391957
768	50.59007968
769	50.54661636
770	50.51409112
771	50.47557836
772	50.42475057
773	50.3952296
774	50.32844751
775	50.28571015
776	50.26265656
777	50.20556868
778	50.16102931
779	50.11707082
780	50.08150367
781	50.0327706
782	49.99335376
783	49.96073113
784	49.90016556
785	49.85294972
786	49.80708577
787	49.76018986
788	49.7335061
789	49.68856376
790	49.65313738
791	49.62518996
792	49.59441945
793	49.53497348
794	49.49681969
795	49.44923281
796	49.3973495
797	49.36110959
798	49.32113258
799	49.27419346
800	49.22903185
801	49.20327782
802	49.16513373
803	49.14784313
804	49.11791428
805	49.06433669
806	49.01442931
807	48.97382158
808	48.9193744
809	48.85305523
810	48.79825778
811	48.76800283
812	48.72194282
813	48.6759774
814	48.60806065
815	48.56106375
816	48.52125908
817	48.4967905
818	48.46081174
819	48.42582733
820	48.39909978
821	48.36946394
822	48.33259039
823	48.29836651
824	48.26101153
825	48.21801918
826	48.18833711
827	48.15849268
828	48.12709121
829	48.10268707
830	48.07247699
831	48.03522313
832	47.99934049
833	47.96288802
834	47.94149587
835	47.91499592
836	47.88136111
837	47.83931524
838	47.79123642
839	47.76353265
840	47.71794344
841	47.67620116
842	47.64930699
843	47.61229887
844	47.57114243
845	47.51998379
846	47.48666763
847	47.44488741
848	47.41715795
849	47.37344951
850	47.33314223
851	47.29780907
852	47.2651688
853	47.23581017
854	47.20928165
855	47.15377042
856	47.10110513
857	47.07560553
858	47.00405145
859	46.966971
860	46.92149431
861	46.88534418
862	46.85996672
863	46.83201494
864	46.80626963
865	46.77845689
866	46.7478408
867	46.70925525
868	46.687616
869	46.64907953
870	46.60062537
871	46.56737035
872	46.54059668
873	46.51116319
874	46.46399733
875	46.42032027
876	46.37864174
877	46.36080841
878	46.31357653
879	46.26852799
880	46.23307514
881	46.19028468
882	46.16668558
883	46.15050591
884	46.11972275
885	46.05733104
886	46.03254511
887	46.02016645
888	45.95953051
889	45.93483379
890	45.8983917
891	45.85706334
892	45.81378039
893	45.77690233
894	45.75031169
895	45.7313001
896	45.70721743
897	45.66932523
898	45.62890359
899	45.60215432
900	45.560007
901	45.53263916
902	45.5176298
903	45.49281607
904	45.46663781
905	45.42470739
906	45.38718707
907	45.33471204
908	45.29736351
909	45.24966601
910	45.21332484
911	45.18074065
912	45.14532546
913	45.10886835
914	45.07680092
915	45.03884045
916	45.00063927
917	44.97022608
918	44.938726
919	44.90066744
920	44.88020711
921	44.84036124
922	44.81397292
923	44.78127767
924	44.74765742
925	44.72477543
926	44.68258183
927	44.6380968
928	44.60529289
929	44.55684481
930	44.52195578
931	44.4966846
932	44.45614031
933	44.40497296
934	44.36984855
935	44.34199735
936	44.30999943
937	44.27058983
938	44.24545326
939	44.22040239
940	44.18297541
941	44.1603586
942	44.12722893
943	44.10879875
944	44.07869596
945	44.06312447
946	44.03543547
947	43.97474318
948	43.94522221
949	43.91977022
950	43.88431222
951	43.85943332
952	43.78980499
953	43.75201783
954	43.68603106
955	43.65550086
956	43.64194058
957	43.60181192
958	43.58448649
959	43.56224738
960	43.53190911
961	43.50655964
962	43.46616305
963	43.42967639
964	43.40917443
965	43.37557029
966	43.34754114
967	43.31554516
968	43.27875994
969	43.24288035
970	43.20305599
971	43.17401612
972	43.16083142
973	43.12531671
974	43.08540608
975	43.05172733
976	43.01405853
977	42.98635096
978	42.95975621
979	42.93735745
980	42.89648803
981	42.86608114
982	42.84275967
983	42.81996063
984	42.77599166
985	42.74301678
986	42.71183499
987	42.68528376
988	42.64701023
989	42.62017563
990	42.56799223
991	42.54493269
992	42.52218427
993	42.48342057
994	42.45628345
995	42.42170348
996	42.38817636
997	42.36140599
998	42.32431777
999	42.30664833
