iter	Passed	Remaining
401	20012	29770
402	20060	29717
403	20109	29666
404	20159	29616
405	20207	29565
406	20255	29512
407	20302	29459
408	20352	29409
409	20401	29358
410	20448	29303
411	20498	29254
412	20547	29203
413	20594	29150
414	20643	29099
415	20709	29072
416	20789	29065
417	20855	29037
418	20903	28985
419	20951	28933
420	21000	28881
421	21049	28830
422	21096	28777
423	21145	28726
424	21192	28672
425	21240	28619
426	21287	28565
427	21334	28512
428	21382	28459
429	21434	28412
430	21482	28360
431	21530	28308
432	21578	28255
433	21627	28205
434	21674	28152
435	21723	28100
436	21770	28047
437	21819	27996
438	21867	27944
439	21914	27890
440	21961	27837
441	22009	27785
442	22058	27735
443	22107	27684
444	22155	27632
445	22205	27582
446	22254	27532
447	22303	27480
448	22352	27430
449	22401	27379
450	22452	27331
451	22501	27280
452	22551	27231
453	22600	27180
454	22649	27129
455	22699	27080
456	22748	27029
457	22798	26979
458	22846	26927
459	22894	26876
460	22942	26824
461	22992	26774
462	23041	26724
463	23088	26671
464	23137	26620
465	23187	26571
466	23236	26520
467	23285	26469
468	23334	26418
469	23382	26367
470	23433	26318
471	23483	26269
472	23535	26222
473	23583	26171
474	23634	26122
475	23683	26071
476	23732	26021
477	23781	25970
478	23832	25922
479	23882	25873
480	23933	25823
481	23982	25774
482	24031	25723
483	24080	25672
484	24130	25622
485	24179	25572
486	24228	25522
487	24277	25471
488	24326	25420
489	24374	25369
490	24422	25317
491	24477	25273
492	24527	25223
493	24575	25172
494	24624	25121
495	24673	25071
496	24724	25022
497	24774	24973
498	24824	24923
499	24873	24873
500	24922	24823
501	24973	24774
502	25022	24724
503	25071	24673
504	25123	24625
505	25171	24574
506	25219	24522
507	25267	24471
508	25315	24420
509	25364	24369
510	25413	24319
511	25464	24270
512	25514	24221
513	25564	24171
514	25613	24121
515	25662	24071
516	25711	24020
517	25760	23969
518	25809	23919
519	25859	23869
520	25908	23819
521	25957	23769
522	26007	23719
523	26056	23669
524	26104	23618
525	26154	23569
526	26202	23517
527	26249	23465
528	26297	23414
529	26347	23364
530	26398	23316
531	26447	23265
532	26496	23215
533	26544	23164
534	26593	23113
535	26641	23063
536	26690	23012
537	26738	22961
538	26787	22910
539	26836	22860
540	26884	22809
541	26932	22758
542	26980	22707
543	27030	22658
544	27079	22607
545	27128	22557
546	27178	22507
547	27226	22456
